City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country
197,Kokopo,-4.352,152.2633,25.98,86,99,1.92,moderate rain,PG
198,Sahuaripa,29.05,-109.2333,36.84,5,0,3.74,clear sky,MX
199,Barra Do Bugres,-15.0725,-57.1811,24.98,74,0,0.61,clear sky,BR
200,Hengyang,26.8881,112.615,19.83,56,0,0.8,clear sky,CN
201,Chumikan,54.7183,135.315,-6.69,88,96,2.23,overcast clouds,RU
202,Tasiilaq,65.6145,-37.6368,-6.83,95,100,4.57,light snow,GL
203,Sakakah,29.9697,40.2064,22.76,22,98,3.01,overcast clouds,SA
204,Svarstad,59.399,9.9698,2.49,52,98,4.02,overcast clouds,NO
205,Chabahar,25.2919,60.643,26.12,65,0,4.99,clear sky,IR
206,Waipawa,-41.4122,175.5153,14.46,70,22,1.64,few clouds,NZ
207,Ribeira Grande,38.5167,-28.7,16.04,85,100,4.3,overcast clouds,PT
208,Cherskiy,68.75,161.3,-20.21,93,79,2.24,broken clouds,RU
209,Atasu,48.6814,71.6433,3.1,96,89,5.35,overcast clouds,KZ
210,Adrar,20.5022,-10.0711,22.51,16,1,4.95,clear sky,MR
211,Yar-Sale,66.8333,70.8333,-22.27,99,100,3.6,overcast clouds,RU
212,Bhuj,23.2667,69.6667,28.58,31,77,5.07,broken clouds,IN
213,Nhulunbuy,-12.2333,136.7667,30.34,70,20,2.57,few clouds,AU
214,Batemans Bay,-35.7167,150.1833,17.83,88,100,3.06,overcast clouds,AU
215,Lebork,54.5392,17.7501,6.75,77,55,8.43,broken clouds,PL
216,Kathmandu,27.7167,85.3167,17.12,72,20,1.54,few clouds,NP
217,Tortoli,39.9256,9.6572,14.67,57,67,4.5,broken clouds,IT
218,Nantucket,41.2835,-70.0995,10.06,85,100,13.79,overcast clouds,US
219,Bambous Virieux,-20.3428,57.7575,26.14,78,40,3.6,light rain,MU
220,Samarai,-10.6167,150.6667,28.61,73,93,5.16,heavy intensity rain,PG
221,Orlik,52.5178,99.825,-4.74,89,38,1.11,scattered clouds,RU
222,Georgetown,5.4112,100.3354,25.96,93,20,1.03,few clouds,MY
223,Comodoro Rivadavia,-45.8667,-67.5,11.92,94,100,3.6,light rain,AR
224,Kuhdasht,33.535,47.6061,11.96,44,52,1.71,broken clouds,IR
225,Mlonggo,-6.5333,110.7,26.4,79,75,2.06,broken clouds,ID
226,Port Macquarie,-31.4333,152.9167,21.61,81,81,5.22,broken clouds,AU
227,Nanortalik,60.1432,-45.2371,-1.96,89,99,4.94,overcast clouds,GL
228,Zheleznodorozhnyy,55.7503,38.0042,8.12,93,100,4.59,overcast clouds,RU
229,Rundu,-17.9333,19.7667,23.5,51,97,1.5,overcast clouds,NA
230,Syamzha,60.0158,41.0614,-0.38,97,100,3.66,overcast clouds,RU
231,Trairi,-3.2778,-39.2689,24.31,94,99,2.95,overcast clouds,BR
232,Huarmey,-10.0681,-78.1522,21.3,81,98,4.98,overcast clouds,PE
233,Flin Flon,54.7682,-101.865,6.91,45,20,2.57,few clouds,CA
234,Talaya,61.3833,152.75,-6.58,79,100,1.57,overcast clouds,RU
235,Hamilton,39.1834,-84.5333,9.55,66,96,4.02,overcast clouds,US
236,Rovaniemi,66.5,25.7167,-4.33,93,0,4.63,clear sky,FI
237,Sorland,67.667,12.6934,2.07,45,8,6.95,clear sky,NO
238,Carnarvon,-24.8667,113.6333,25.04,78,40,3.6,scattered clouds,AU
239,Sitka,57.0531,-135.33,6.94,76,75,4.12,broken clouds,US
240,Chuy,-33.6971,-53.4616,17.34,92,100,2.58,overcast clouds,UY
241,Lasa,46.6166,10.7002,5.76,95,91,2.62,overcast clouds,IT
242,Perth,-31.9333,115.8333,24.81,48,0,4.63,clear sky,AU
243,Lorengau,-2.0226,147.2712,28.14,82,100,7.19,overcast clouds,PG
244,Severo-Kurilsk,50.6789,156.125,0.08,75,100,0.52,overcast clouds,RU
245,Lata,40.1629,-8.3327,14.34,82,100,1.34,overcast clouds,PT
246,Urengoy,65.9667,78.3667,-20.84,99,98,3.21,overcast clouds,RU
247,Touros,-5.1989,-35.4608,26.79,80,66,4.74,broken clouds,BR
248,Artesia,33.8658,-118.0831,38.41,16,0,5.14,clear sky,US
249,Pucallpa,-8.3791,-74.5539,29.02,74,20,2.06,few clouds,PE
250,Saint-Philippe,-21.3585,55.7679,22.77,86,56,6.0,light rain,RE
251,Kita,13.0349,-9.4895,30.93,12,26,2.58,scattered clouds,ML
252,Cortes,41.9395,-1.4396,14.03,53,47,3.14,scattered clouds,ES
253,Centenario Do Sul,-22.8211,-51.5953,22.67,77,62,3.15,broken clouds,BR
254,Zyryanka,65.75,150.85,-12.77,91,100,2.38,overcast clouds,RU
